CodigoPosto, NomePosto, MOD, Rendimento, Ciclo, Lote, UPH, UPPH, CAPHora, CAPTurno, Ociosidade, Ocupação, Local
L01L02LARL5224,VerificaçãoNoSistemaBis+EmbalagemEPaletização,1,80%,1.56,1,1846.15,1846.15,2102.00,17555.00,57.28%,42.72%, SemDestino

L03L04LAQG5001,InspeçãoDeCélula+Tampografia+InspeçãoDaTampografia+AlimentaçãoDoMódulo,1,80%,2.54,1,1133.86,1133.86,1289.00,10767.00,30.34%,69.66%, SemDestino
L03L04LAQG5002,Auto-BarcodeInkjet&Inspection,1,97%,3.76,1,928.72,928.72,931.00,7772.00,3.50%,96.50%, SemDestino
L03L04LAQG5003,Auto-DeepTerraceSiliconeMatSticking,1,97%,3.83,1,911.75,911.75,912.00,7613.00,1.49%,98.51%, SemDestino
L03L04LAQG5004,Auto-BottomMylarSticking,1,97%,3.65,1,956.71,956.71,958.00,8001.00,6.26%,93.74%, SemDestino
L03L04LAQG5005,DobraDaFitaInferior,2,80%,2.62,1,1099.24,549.62,1248.00,10417.00,28.00%,72.00%, SemDestino
L03L04LAQG5006,Auto-LeftSideMylarSticking&Wrapping,1,97%,3.62,1,964.64,964.64,966.00,8062.00,6.97%,93.03%, SemDestino
L03L04LAQG5007,Auto-RightMylarSticking&Wrapping,1,97%,3.63,1,961.98,961.98,963.00,8045.00,6.77%,93.23%, SemDestino
L03L04LAQG5008,Auto-TopSealantMylarSticking,1,97%,3.55,1,983.66,983.66,984.00,8214.00,8.69%,91.31%, SemDestino
L03L04LAQG5009,DobraDaFitaIntermediaria,2,80%,2.89,1,996.54,498.27,1134.00,9472.00,20.82%,79.18%, SemDestino
L03L04LAQG5010,Auto-CellTesting&Cutting&Flatting,1,97%,3.46,1,1009.25,1009.25,1009.00,8428.00,11.01%,88.99%, SemDestino
L03L04LAQG5011,PCM&Cell&LabelBarcodeLinking+Auto-LaserWelding,1,97%,3.49,1,1000.57,1000.57,1001.00,8358.00,10.26%,89.74%, SemDestino
L03L04LAQG5012,ColocaçãoDaPCM,1,80%,3.61,1,967.31,967.31,907.00,7570.00,0.92%,99.08%, SemDestino
L03L04LAQG5013,Auto-WeldingVi&Auto-LShapeNiPlateBending,1,97%,3.61,1,967.31,967.31,970.00,8096.00,7.36%,92.64%, SemDestino
L03L04LAQG5014,AplicaçãoDaFitaAdevisa,2,80%,3.61,1,797.78,398.89,908.00,7580.00,1.06%,98.94%, SemDestino
L03L04LAQG5015,RetirarOLineDaFita,1,80%,3.57,1,806.72,806.72,916.00,7653.00,1.99%,98.01%, SemDestino
L03L04LAQG5016,PCMFolder180,1,97%,3.55,1,983.66,983.66,984.00,8219.00,8.74%,91.26%, SemDestino
L03L04LAQG5017,HeadMylarSticking&Wrapping,1,97%,3.59,1,972.70,972.70,974.00,8132.00,7.77%,92.23%, SemDestino
L03L04LAQG5018,FpcBending,1,80%,3.48,1,827.59,827.59,941.00,7855.00,4.52%,95.48%, SemDestino
L03L04LAQG5019,BarcodeLinking&PackLength&WidthHeadThickness&Aoi,1,97%,3.57,1,978.15,978.15,978.00,8166.00,8.15%,91.85%, SemDestino
L03L04LAQG5020,FinalFunctionTest,1,97%,3.58,1,975.42,975.42,977.00,8159.00,8.08%,91.92%, SemDestino
L03L04LAQG5021,AutoLeakageTest,1,97%,3.41,1,1024.05,1024.05,1026.00,8564.00,12.42%,87.58%, SemDestino
L03L04LAQG5022,ConnectorPosition&AppearanceChecking,1,80%,3.43,1,839.65,839.65,956.00,7979.00,6.00%,94.00%, SemDestino
L03L04LAQG5023,FinishedProductionVisualInspection,1,80%,3.17,1,908.52,908.52,1033.00,8627.00,13.06%,86.94%, SemDestino
L03L04LAQG5024,VerificaçãoNoSistemaBIS+SFIS+EmbalagemEPaletização,1,80%,1.56,1,1846.15,1846.15,2102.00,17555.00,57.28%,42.72%, SemDestino
